,NL111,NL112,NL113,NL124_1,NL126,NL131_2,NL211_1,NL213,NL221_2,NL225,NL230,NL310,NL321_2,NL323_3,NL332_3,NL333,NL33A,NL341_1,NL411_1,NL413,NL414,NL421_2
2019-01-01 00:00:00,143.62599775367818,162.96389510022152,302.6416485294629,372.467415185394,196.31647817881245,526.0380405280933,468.86792007434474,319.49379612726676,936.3691468919153,243.4556590551207,251.24990749924825,580.839182738973,1223.5436216638677,771.0410879838139,1495.5994543139939,277.8526751874322,285.67071596732984,412.60368795481656,645.9872682227341,359.6954102420269,424.31533242637573,793.3616583750759
2019-01-01 01:00:00,140.27720505993958,159.16421878959463,295.58523703525265,363.78294177433565,191.7391509673894,513.772904868112,457.93576649748184,312.0444589118642,914.5367056431403,237.77923177145212,245.39174903423992,567.296300239878,1195.015402505902,753.0634460360048,1460.7279644465693,271.37424493694806,279.0099997919258,402.9833947123468,630.9253889118414,351.3087296923424,414.42196975322196,774.8635886202168
2019-01-01 02:00:00,136.8642592494627,155.29175174504763,288.3936452442184,354.9320991408432,187.0741354952111,501.2728049234566,446.7941846911771,304.45241408697115,892.2860183934307,231.9940606700887,239.4213653112812,553.4939755473134,1165.9406657395461,734.741404817165,1425.188438374788,264.77170682725927,272.22168368978987,393.1788046644657,615.5749678516979,342.7613847643114,404.33907905950963,756.0111497129656
2019-01-01 03:00:00,133.60528091915768,151.59398246190878,281.52648616556166,346.48054264119247,182.61957184884534,489.33661926201876,436.1552306355327,297.2028675248552,871.0391215459637,226.4698747311928,233.7203222074033,540.3143121190752,1138.1775712333265,717.245921848799,1391.2521991934627,258.46702757966165,265.7396074118104,383.8165269495717,600.9170469897563,334.5996343443119,394.7110556151377,738.009196771455
2019-01-01 04:00:00,133.9645383728921,152.0016105718611,282.2834958277758,347.41221028682327,183.11062610907462,490.65241925619296,437.32802872040685,298.0020301380018,873.3812991511962,227.0788401102837,234.3487836519253,541.767188402503,1141.2380698403113,719.1745577665716,1394.9932019378607,259.16203159120784,266.45416700150895,384.848589059875,602.5328807855609,335.49935486305196,395.77241253026534,739.9936640248499
2019-01-01 05:00:00,136.9027511195057,155.33542618539968,288.47475342231286,355.0319206743037,187.12674845166427,501.41378349426105,446.9198416288423,304.5380386526655,892.5369659939914,232.0593069607056,239.48870046605145,553.6496408633951,1166.2685763045804,734.9480443797836,1425.5892600974023,264.8461715427821,272.2982436458291,393.2893827477126,615.7480929012485,342.85778339131934,404.4527958718448,756.2237712044008
2019-01-01 06:00:00,139.8409638661192,158.6692417989382,294.6660110168497,362.6516310617839,191.1428707942538,512.1751477323289,456.5116545372774,311.07404716732896,911.6926328367863,237.03977381112742,244.62861728017748,565.5320933242868,1191.2990827688488,750.7215309929951,1456.185318256943,270.5303114943562,278.142320290149,401.73017643554994,628.9633050169358,350.2162119195865,413.13317921342406,772.4538783839514
2019-01-01 07:00:00,143.2025871832055,162.4834762563492,301.7494585704249,371.3693783173293,195.73773565782798,524.4872762492453,467.4856937600289,318.55192590462974,933.6087232857486,242.73794985833507,250.50922079677602,579.1268642620762,1219.936605448493,768.7680527950107,1491.1904153652395,277.0335633166814,284.8285564508995,411.38732903910216,644.082892677679,358.63502534494046,423.06444749068976,791.0228219692893
2019-01-01 08:00:00,147.07743543419807,166.88003658512056,309.9143484985915,381.418079352347,201.03410660744393,538.6791190435532,480.13515881831466,327.17146551785413,958.8707817421857,249.30607644710102,257.28762637697724,594.7971727476192,1252.946268995258,789.5697687652724,1531.5398021083897,284.5296780126439,292.5355920255049,422.51885608594455,661.5108143324283,368.3391537970659,434.5119399324232,812.4267187737623
2019-01-01 09:00:00,151.876088566222,172.32478348234076,320.02583470102314,393.8624971904154,207.5931885119353,556.2544475371666,495.8003903805628,337.8459947077414,990.1555826120783,257.4401140106722,265.6820756716636,614.2034488191197,1293.8257861028412,815.3308342383783,1581.508910194278,293.81294588115384,302.0800665450495,436.30425713070974,683.0937371763896,380.35684929738017,448.6886358701993,838.9335313726796
